No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,Time 1,Time 2,delay 1,delay 2,jitter,,,,,,Time 1,Time 2,delay,delay 2,jitter
98,15.660147,192.168.100.11,20.50.80.210,TCP,54,61313  >  443 [ACK] Seq=230 Ack=1413 Win=262144 Len=0,,,,,,,,,,,15.660147,15.660337,0.00019,7.80E-05,0.000112,,,,,,15.660147,15.660337,0.00019,7.80E-05,0.000112
99,15.660337,20.50.80.210,192.168.100.11,TCP,1466,[TCP Previous segment not captured] 443  >  61313 [ACK] Seq=2825 Ack=230 Win=524800 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,15.660337,15.660415,7.80E-05,8.80E-05,-1.00E-05,,,,,,15.660337,15.660415,7.80E-05,8.80E-05,-0.00001
100,15.660415,192.168.100.11,20.50.80.210,TCP,66,[TCP Dup ACK 98#1] 61313  >  443 [ACK] Seq=230 Ack=1413 Win=262144 Len=0 SLE=2825 SRE=4237,,,,,,,,,,,15.660415,15.660503,8.80E-05,0,8.80E-05,,,,,,15.660415,15.660503,8.80E-05,0,0.000088
101,15.660503,20.50.80.210,192.168.100.11,TCP,1466,[TCP Out-Of-Order] 443  >  61313 [ACK] Seq=1413 Ack=230 Win=524800 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,15.660503,15.660503,0,0,0,,,,,,15.660503,15.660503,0,0,0
102,15.660503,20.50.80.210,192.168.100.11,TCP,1466,443  >  61313 [ACK] Seq=4237 Ack=230 Win=524800 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,15.660503,15.660503,0,8.40E-05,-8.40E-05,,,,,,15.660503,15.660503,0,8.40E-05,-0.000084
103,15.660503,20.50.80.210,192.168.100.11,TLSv1.2,630,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done",,,,,,,,,,,15.660503,15.660587,8.40E-05,9.80E-05,-1.40E-05,,,,,,15.660503,15.660587,8.40E-05,9.80E-05,-0.000014
104,15.660587,192.168.100.11,20.50.80.210,TCP,54,61313  >  443 [ACK] Seq=230 Ack=4237 Win=262144 Len=0,,,,,,,,,,,15.660587,15.660685,9.80E-05,0.003588,-0.00349,,,,,,15.660587,15.660685,9.80E-05,0.003588,-0.00349
105,15.660685,192.168.100.11,20.50.80.210,TCP,54,61313  >  443 [ACK] Seq=230 Ack=6225 Win=262144 Len=0,,,,,,,,,,,15.660685,15.664273,0.003588,0.200528,-0.19694,,,,,,15.660685,15.664273,0.003588,0.200528,-0.19694
106,15.664273,192.168.100.11,20.50.80.210,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,,,15.664273,15.864801,0.200528,0.000141,0.200387,,,,,,15.664273,15.864801,0.200528,0.000141,0.200387
107,15.864801,20.50.80.210,192.168.100.11,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message",,,,,,,,,,,15.864801,15.864942,0.000141,0.000785,-0.000644,,,,,,15.864801,15.864942,0.000141,0.000785,-0.000644
108,15.864942,192.168.100.11,20.50.80.210,TCP,54,61313  >  443 [ACK] Seq=388 Ack=6276 Win=261888 Len=0,,,,,,,,,,,15.864942,15.865727,0.000785,0.202812,-0.202027,,,,,,15.864942,15.865727,0.000785,0.202812,-0.202027
109,15.865727,192.168.100.11,20.50.80.210,TLSv1.2,1086,Application Data,,,,,,,,,,,15.865727,16.068539,0.202812,0.000155,0.202657,,,,,,15.865727,16.068539,0.202812,0.000155,0.202657
111,16.068539,20.50.80.210,192.168.100.11,TLSv1.2,536,Application Data,,,,,,,,,,,16.068539,16.068694,0.000155,0.46136,-0.461205,,,,,,16.068539,16.068694,0.000155,0.46136,-0.461205
